k,column,accuracy,normalized_accuracy
1,retrieval_score,0.34146341463414637,0.46666666666666673
2,retrieval_score,0.4146341463414634,0.5666666666666667
5,retrieval_score,0.4878048780487805,0.6666666666666666
1,retrieval_score_normalized,0.5609756097560976,0.7666666666666667
2,retrieval_score_normalized,0.6341463414634146,0.8666666666666667
5,retrieval_score_normalized,0.7073170731707317,0.9666666666666667
1,gt_embed_score,0.04878048780487805,0.06666666666666667
2,gt_embed_score,0.0975609756097561,0.13333333333333333
5,gt_embed_score,0.14634146341463414,0.19999999999999998
1,gt_embed_score_normalized,0.07317073170731707,0.09999999999999999
2,gt_embed_score_normalized,0.12195121951219512,0.16666666666666666
5,gt_embed_score_normalized,0.14634146341463414,0.19999999999999998
1,pagerank-precomputed,0.24390243902439024,0.3333333333333333
2,pagerank-precomputed,0.34146341463414637,0.46666666666666673
5,pagerank-precomputed,0.6097560975609756,0.8333333333333334
1,pagerank-precomputed_normalized,0.21951219512195122,0.3
2,pagerank-precomputed_normalized,0.34146341463414637,0.46666666666666673
5,pagerank-precomputed_normalized,0.4146341463414634,0.5666666666666667
1,pagerank,0.04878048780487805,0.06666666666666667
2,pagerank,0.0975609756097561,0.13333333333333333
5,pagerank,0.14634146341463414,0.19999999999999998
1,pagerank_normalized,0.2682926829268293,0.3666666666666667
2,pagerank_normalized,0.3170731707317073,0.43333333333333335
5,pagerank_normalized,0.6097560975609756,0.8333333333333334
1,extra_information_score,0.17073170731707318,0.23333333333333336
2,extra_information_score,0.2926829268292683,0.39999999999999997
5,extra_information_score,0.4146341463414634,0.5666666666666667
1,LevenshteinSimilarity(),0.4878048780487805,0.6666666666666666
2,LevenshteinSimilarity(),0.5853658536585366,0.7999999999999999
5,LevenshteinSimilarity(),0.6341463414634146,0.8666666666666667
1,"JaroWinklerSimilarity(threshold=0.7,scaling_factor=0.1,prefix_len=4)",0.43902439024390244,0.6
2,"JaroWinklerSimilarity(threshold=0.7,scaling_factor=0.1,prefix_len=4)",0.43902439024390244,0.6
5,"JaroWinklerSimilarity(threshold=0.7,scaling_factor=0.1,prefix_len=4)",0.5853658536585366,0.7999999999999999
1,"NeedlemanSimilarity(match=2.0,mismatch=-1.0,gap=-0.5)",0.4878048780487805,0.6666666666666666
2,"NeedlemanSimilarity(match=2.0,mismatch=-1.0,gap=-0.5)",0.5853658536585366,0.7999999999999999
5,"NeedlemanSimilarity(match=2.0,mismatch=-1.0,gap=-0.5)",0.6341463414634146,0.8666666666666667
1,SoundexSimilarity(),0.17073170731707318,0.23333333333333336
2,SoundexSimilarity(),0.2926829268292683,0.39999999999999997
5,SoundexSimilarity(),0.5121951219512195,0.7000000000000001
1,MetaphoneSimilarity(),0.34146341463414637,0.46666666666666673
2,MetaphoneSimilarity(),0.43902439024390244,0.6
5,MetaphoneSimilarity(),0.4878048780487805,0.6666666666666666
1,NysiisSimilarity(),0.3170731707317073,0.43333333333333335
2,NysiisSimilarity(),0.3902439024390244,0.5333333333333333
5,NysiisSimilarity(),0.43902439024390244,0.6
1,"CosineSimilarity(tokenizer=ngram,tokenizer_n=3)",0.5609756097560976,0.7666666666666667
2,"CosineSimilarity(tokenizer=ngram,tokenizer_n=3)",0.6341463414634146,0.8666666666666667
5,"CosineSimilarity(tokenizer=ngram,tokenizer_n=3)",0.6585365853658537,0.9
1,"JaccardSimilarity(tokenizer=ngram,tokenizer_n=3)",0.5365853658536586,0.7333333333333334
2,"JaccardSimilarity(tokenizer=ngram,tokenizer_n=3)",0.6097560975609756,0.8333333333333334
5,"JaccardSimilarity(tokenizer=ngram,tokenizer_n=3)",0.6341463414634146,0.8666666666666667
1,HybridJaccardSimilarity(tokenizer=word),0.4634146341463415,0.6333333333333334
2,HybridJaccardSimilarity(tokenizer=word),0.5365853658536586,0.7333333333333334
5,HybridJaccardSimilarity(tokenizer=word),0.6341463414634146,0.8666666666666667
1,MongeElkanSimilarity(tokenizer=word),0.5853658536585366,0.7999999999999999
2,MongeElkanSimilarity(tokenizer=word),0.6341463414634146,0.8666666666666667
5,MongeElkanSimilarity(tokenizer=word),0.6829268292682927,0.9333333333333335
1,SymmetricMongeElkanSimilarity(tokenizer=word),0.6829268292682927,0.9333333333333335
2,SymmetricMongeElkanSimilarity(tokenizer=word),0.7073170731707317,0.9666666666666667
5,SymmetricMongeElkanSimilarity(tokenizer=word),0.7317073170731707,1.0
1,TfidfSimilarity(tokenizer=word),0.5365853658536586,0.7333333333333334
2,TfidfSimilarity(tokenizer=word),0.6097560975609756,0.8333333333333334
5,TfidfSimilarity(tokenizer=word),0.6341463414634146,0.8666666666666667
